idx,wn_id,labels,parent_wn_id,parent_labels,children_wn_ids,children_labels,depth,description,class_id,simplified,keras,coarse-grained
13,n00033020,['communication'],n00002137,"['abstraction', 'abstract_entity']","['n07109019', 'n06282383', 'n06600421', 'n06887726', 'n13403331', 'n07066659', 'n06797169', 'n06282651', 'n06253690', 'n06598915', 'n07082025', 'n07255791', 'n01102436', 'n06793231', 'n06791372', 'n06873252', 'n07110615', 'n07277697', 'n06349220']","[['auditory_communication'], ['contagion', 'infection'], ['didacticism'], ['display'], ['document'], ['expressive_style', 'style'], ['indication', 'indicant'], ['language', 'linguistic_communication'], ['message'], ['message', 'content', 'subject_matter', 'substance'], ['paralanguage', 'paralinguistic_communication'], ['psychic_communication', 'psychical_communication', 'anomalous_communication'], ['publication'], ['sign'], ['signal', 'signaling', 'sign'], ['visual_communication'], ['voice', 'vocalization', 'vocalisation', 'vocalism', 'phonation', 'vox'], ['voice'], ['written_communication', 'written_language', 'black_and_white']]",2,something that is communicated by or to or between people or groups,-1,,,
14,n05810143,['otherworld'],n00002137,"['abstraction', 'abstract_entity']",[],[],2,an abstract spiritual world beyond earthly reality,-1,,,
15,n00023100,['psychological_feature'],n00002137,"['abstraction', 'abstract_entity']","['n00023271', 'n00029378', 'n00023773']","[['cognition', 'knowledge', 'noesis'], ['event'], ['motivation', 'motive', 'need']]",2,a feature of the mental life of a living organism,-1,,,
16,n07999699,['set'],n00002137,"['abstraction', 'abstract_entity']","['n08268321', 'n08000118', 'n08005260', 'n06016853', 'n08000304', 'n13873213', 'n06016276', 'n08000881', 'n08001441', 'n08001685', 'n08001344', 'n08005954', 'n08001209', 'n08000644']","[['diagonal'], ['domain', 'domain_of_a_function'], ['field'], ['group', 'mathematical_group'], ['image', 'range', 'range_of_a_function'], ['intersection'], ['interval'], ['locus'], ['Mandelbrot_set'], ['mathematical_space', 'topological_space'], ['null_set'], ['solution', 'root'], ['subset'], ['universal_set']]",2,(mathematics) an abstract collection of numbers or symbols,-1,,,
17,n00002452,['thing'],n00001930,['physical_entity'],"['n09225146', 'n09312645', 'n09367203', 'n09385911', 'n09407867', 'n04347225', 'n09465459', 'n09468959']","[['body_of_water', 'water'], ['inessential', 'nonessential'], ['necessity', 'essential', 'requirement', 'requisite', 'necessary'], ['part', 'piece'], ['reservoir', 'source'], ['subject', 'content', 'depicted_object'], ['unit', 'building_block'], ['variable']]",2,a separate and self-contained entity,-1,,,
18,n04617441,['common_denominator'],n00024264,['attribute'],[],[],3,an attribute that is common to all members of a category,-1,,,
19,n14541044,['danger'],n00007347,"['causal_agent', 'cause', 'causal_agency']","['n14541852', 'n14543231', 'n14543145']","[['hazard', 'jeopardy', 'peril', 'risk', 'endangerment'], ['menace', 'threat'], ['powder_keg']]",3,a cause of pain or injury or loss,-1,,,
20,n09504464,['theurgy'],n00007347,"['causal_agent', 'cause', 'causal_agency']",[],[],3,the effect of supernatural or divine intervention in human affairs,-1,,,
21,n09287968,"['geological_formation', 'formation']",n00002684,"['object', 'physical_object']","['n09201998', 'n09217230', 'n09238926', 'n09246464', 'n09264803', 'n09266604', 'n09283066', 'n09283866', 'n09309292', 'n09331251', 'n09348460', 'n09357447', 'n09362316', 'n09366017', 'n09366317', 'n09376786', 'n09403734', 'n09407194', 'n09409898', 'n09409752', 'n09433442', 'n09437454', 'n09443453', 'n09454153', 'n09470222', 'n09472413', 'n09474412', 'n09476123']","[['aquifer'], ['beach'], ['cave'], ['cliff', 'drop', 'drop-off'], ['delta'], ['diapir'], ['folium'], ['foreshore'], ['ice_mass'], ['lakefront'], ['massif'], ['monocline'], ['mouth'], ['natural_depression', 'depression'], ['natural_elevation', 'elevation'], ['oceanfront'], ['range', 'mountain_range', 'range_of_mountains', 'chain', 'mountain_chain', 'chain_of_mountains'], ['relict'], ['ridge'], ['ridge', 'ridgeline'], ['shore'], ['slope', 'incline', 'side'], ['spring', 'fountain', 'outflow', 'outpouring', 'natural_spring'], ['talus', 'scree'], ['vein', 'mineral_vein'], ['volcanic_crater', 'crater'], ['wall'], ['water_table', 'water_level', 'groundwater_level']]",3,(geology) the geological features of the earth,-1,,,
22,n07941170,['biological_group'],n00031264,"['group', 'grouping']","['n07993929', 'n07992308', 'n07995856', 'n08369220', 'n08221348', 'n08368907', 'n07941405', 'n07992450']","[['animal_group'], ['clade'], ['colony'], ['descendants', 'posterity'], ['division'], ['generation'], ['genotype'], ['taxonomic_group', 'taxonomic_category', 'taxon']]",3,a group of plants or animals,-1,,,
23,n09900711,['catalyst'],n00007347,"['causal_agent', 'cause', 'causal_agency']",[],[],3,something that causes an important event to happen,-1,,,
24,n00027167,['location'],n00002684,"['object', 'physical_object']","['n08490402', 'n08489890', 'n08562067', 'n08561351', 'n08489497', 'n08490199', 'n08509111', 'n08593262', 'n08561081', 'n08561230', 'n08561946', 'n08500433', 'n09386842', 'n08620061', 'n08630039', 'n08630985', 'n08490039', 'n08795880', 'n08489765', 'n08561583', 'n08561462', 'n08561714', 'n13910384', 'n08489627', 'n08561835', 'n08683383']","[['base', 'home'], ['bilocation'], ['Earth', 'earth'], ['east'], ['here'], ['home'], ['jungle'], ['line'], ['north'], ['northeast'], ['northwest'], ['outer_space', 'space'], ['pass', 'mountain_pass', 'notch'], ['point'], ['region', 'part'], ['region'], ['seat'], ['sodom'], ['somewhere'], ['south'], ['southeast'], ['southwest'], ['space'], ['there'], ['west'], ['whereabouts']]",3,a point or extent in space,-1,,,
25,n09474162,['wall'],n00002684,"['object', 'physical_object']","['n09283514', 'n09301625']","[['footwall'], ['hanging_wall']]",3,anything that suggests a wall in structure or function or effect,-1,,,
26,n15110956,['vegetable_matter'],n00020827,['matter'],"['n14814616', 'n14689493']","[['coal'], ['peat']]",3,matter produced by plants or growing in the manner of a plant,-1,,,
27,n07066659,"['expressive_style', 'style']",n00033020,['communication'],"['n06366581', 'n07067876', 'n07068048', 'n07068133', 'n07068844', 'n07069210', 'n07069517', 'n07069747', 'n07069948', 'n07070429', 'n07070779', 'n07071017', 'n07071250', 'n07071366', 'n07071483', 'n07071942', 'n07072195', 'n07072337', 'n07093273', 'n07072434', 'n07072698', 'n07072838', 'n07073071', 'n07087940', 'n07088438', 'n07088645', 'n07089622', 'n07089751', 'n07092158']","[['allegory'], ['analysis'], ['bathos'], ['black_humor', 'black_humour'], ['device'], ['eloquence', 'fluency', 'smoothness'], ['euphuism'], ['flatness'], ['formulation', 'expression'], ['grandiosity', 'magniloquence', 'ornateness', 'grandiloquence', 'rhetoric'], ['headlinese'], ['jargon'], ['journalese'], ['legalese'], ['manner_of_speaking', 'speech', 'delivery'], ['music_genre', 'musical_genre', 'genre', 'musical_style'], ['officialese'], ['pathos'], ['poetry'], ['prose'], ['rhetoric'], ['saltiness', 'coarseness'], ['self-expression'], ['sesquipedality'], ['terseness'], ['turn_of_phrase', 'turn_of_expression'], ['vein'], ['verboseness', 'verbosity'], ['writing_style', 'literary_genre', 'genre']]",3,a way of expressing something (in language or art or music etc.) that is characteristic of a particular person or group of people or period,-1,,,
28,n07082025,"['paralanguage', 'paralinguistic_communication']",n00033020,['communication'],[],[],3,the use of manner of speaking to communicate particular meanings,-1,,,
29,n14583573,['glop'],n00020827,['matter'],[],[],3,any gummy shapeless matter; usually unpleasant,-1,,,
30,n09477037,['web'],n00002684,"['object', 'physical_object']","['n04275363', 'n09455910', 'n09477319']","[['spider_web', ""spider's_web""], ['tent'], ['webbing']]",3,an intricate network suggesting something that was formed by weaving or interweaving,-1,,,
31,n14778436,['agent'],n00007347,"['causal_agent', 'cause', 'causal_agency']","['n14778019', 'n02719951', 'n02720201', 'n14779082', 'n14779205', 'n14779550', 'n14815728', 'n14822141', 'n14835333', 'n03208229', 'n03247620', 'n14852646', 'n14876679', 'n14913744', 'n14914301', 'n14918784', 'n14929209', 'n14929350', 'n14953357', 'n14960721', 'n14997393', 'n15048184', 'n04528354', 'n15048293']","[['antacid', 'gastric_antacid', 'alkalizer', 'alkaliser', 'antiacid'], ['antiflatulent'], ['antifungal', 'antifungal_agent', 'fungicide', 'antimycotic', 'antimycotic_agent'], ['bacteriostat'], ['bleaching_agent', 'bleach', 'blanching_agent', 'whitener'], ['chemical_agent'], ['coagulant', 'coagulator'], ['coolant'], ['dilutant', 'diluent', 'thinner'], ['disinfectant', 'germicide', 'antimicrobic', 'antimicrobial'], ['drug'], ['emmenagogue'], ['galactagogue'], ['hypnagogue'], ['hypoglycemic_agent', 'hypoglycaemic_agent'], ['inducer'], ['lactifuge'], ['lactogen'], ['mitogen'], ['nerve_gas', 'nerve_agent'], ['precipitant'], ['solvating_agent'], ['vermicide'], ['viricide', 'virucide']]",3,a substance that exerts some force or effect,-1,,,
32,n14582025,['ylem'],n00020827,['matter'],[],[],3,(cosmology) the original matter that (according to the big bang theory) existed before the formation of the chemical elements,-1,,,
33,n09468237,['vagabond'],n00002684,"['object', 'physical_object']",[],[],3,anything that resembles a vagabond in having no fixed place,-1,,,
34,n14582535,['antimatter'],n00020827,['matter'],[],[],3,matter consisting of elementary particles that are the antiparticles of those making up normal substances,-1,,,
35,n03610270,"['keepsake', 'souvenir', 'token', 'relic']",n00002684,"['object', 'physical_object']","['n03693617', 'n03894762']","[['love-token'], ['party_favor', 'party_favour', 'favor', 'favour']]",3,something of sentimental value,-1,,,
36,n00028270,['time'],n00024264,['attribute'],"['n15116532', 'n15116910', 'n15123754', 'n15116724', 'n15117246', 'n15133488', 'n15243976', 'n15121625', 'n15116283', 'n15130205', 'n15122011', 'n15120823', 'n15119536']","[['biological_time'], ['civil_time', 'standard_time', 'local_time'], ['continuum'], ['cosmic_time'], ['daylight-saving_time', 'daylight-savings_time', 'daylight_saving', 'daylight_savings'], ['duration', 'continuance'], ['eternity', 'infinity'], ['future', 'hereafter', 'futurity', 'time_to_come'], ['geological_time', 'geologic_time'], ['Greenwich_Mean_Time', 'Greenwich_Time', 'GMT', 'universal_time', 'UT', 'UT1'], ['musical_time'], ['past', 'past_times', 'yesteryear'], ['present', 'nowadays']]",3,the continuum of experience in which events pass from the future through the present to the past,-1,,,
37,n04921011,"['inheritance', 'heritage']",n00024264,['attribute'],"['n04921417', 'n04921576', 'n04921308', 'n04921754']","[['background'], ['birthright'], ['birthright'], ['upbringing']]",3,any attribute or immaterial possession that is inherited from ancestors,-1,,,
38,n06600421,['didacticism'],n00033020,['communication'],[],[],3,communication that is suitable for or intended to be instructive,-1,,,
39,n14956661,"['sludge', 'slime', 'goo', 'goop', 'gook', 'guck', 'gunk', 'muck', 'ooze']",n00020827,['matter'],['n14956921'],[['sapropel']],3,"any thick, viscous matter",-1,,,
40,n06282651,"['language', 'linguistic_communication']",n00033020,['communication'],"['n06894544', 'n07083441', 'n06283647', 'n06903519', 'n06906116', 'n06900156', 'n06903396', 'n06904171', 'n06284067', 'n06875697', 'n07281523', 'n06283912', 'n07013736', 'n06903972', 'n06283459', 'n06283764']","[['artificial_language'], ['barrage', 'bombardment', 'outpouring', 'onslaught'], ['dead_language'], ['indigenous_language'], ['lingua_franca', 'interlanguage', 'koine'], ['metalanguage'], ['native_language'], ['natural_language', 'tongue'], ['object_language', 'target_language'], ['sign_language', 'signing'], ['slanguage'], ['source_language'], ['string_of_words', 'word_string', 'linguistic_string'], ['superstrate', 'superstratum'], ['usage'], ['words']]",3,a systematic means of communicating by the use of sounds or conventional symbols,-1,,,
41,n14582220,['dark_matter'],n00020827,['matter'],[],[],3,(cosmology) a hypothetical form of matter that is believed to make up 90 percent of the universe; it is invisible (does not absorb or emit light) and does not collide with atomic particles but exerts gravitational force,-1,,,
42,n09238143,['catch'],n00002684,"['object', 'physical_object']",[],[],3,anything that is caught (especially if it is worth catching),-1,,,
43,n09279458,['finding'],n00002684,"['object', 'physical_object']",[],[],3,something that is found,-1,,,
44,n07109019,['auditory_communication'],n00033020,['communication'],"['n06278136', 'n07020895', 'n07109196', 'n07109847']","[['audio', 'sound'], ['music'], ['speech', 'speech_communication', 'spoken_communication', 'spoken_language', 'language', 'voice_communication', 'oral_communication'], ['utterance', 'vocalization']]",3,communication that relies on hearing,-1,,,
45,n09300905,['hail'],n00002684,"['object', 'physical_object']",[],[],3,many objects thrown forcefully through the air,-1,,,
46,n09503682,['nature'],n00007347,"['causal_agent', 'cause', 'causal_agency']",[],[],3,a causal agent creating and controlling things in the universe,-1,,,
47,n04012260,"['property', 'prop']",n00002684,"['object', 'physical_object']",['n03152144'],[['custard_pie']],3,any movable articles or objects used on the set of a play or movie,-1,,,
48,n04248010,['snake'],n00002684,"['object', 'physical_object']","['n03049605', 'n03968886', 'n04475195']","[['closet_auger'], [""plumber's_snake"", 'auger'], ['trap-and-drain_auger']]",3,"something long, thin, and flexible that resembles a snake",-1,,,
49,n06797169,"['indication', 'indicant']",n00033020,['communication'],"['n06643408', 'n01228380', 'n06802444', 'n06802571', 'n06802785', 'n06798558', 'n06798750', 'n06798472', 'n06798336', 'n06802880', 'n06798187', 'n06646628']","[['evidence'], ['gesture'], ['glimpse'], ['harbinger', 'forerunner', 'predecessor', 'herald', 'precursor'], ['hint', 'clue'], ['manifestation'], ['mark', 'print'], ['pointing_out'], ['signalization', 'signalisation'], ['smoke'], ['symptom'], ['trace', 'vestige', 'tincture', 'shadow']]",3,something that serves to indicate or suggest,-1,,,
50,n09368224,"['neighbor', 'neighbour']",n00002684,"['object', 'physical_object']",[],[],3,a nearby object of the same kind,-1,,,
51,n09281777,['floater'],n00002684,"['object', 'physical_object']",['n09308572'],"[['iceberg', 'berg']]",3,an object that floats or is capable of floating,-1,,,
52,n07277697,['voice'],n00033020,['communication'],[],[],3,something suggestive of speech in being a medium of expression,-1,,,
53,n09407346,['remains'],n00002684,"['object', 'physical_object']","['n09203677', 'n09284589']","[['archeological_remains'], ['fossil']]",3,any object that is left unused or still extant,-1,,,
54,n15004501,['residue'],n00020827,['matter'],"['n14769160', 'n14824556', 'n14838539', 'n14677485']","[['ash'], ['cottonseed_cake', 'cotton_cake'], ['dottle'], ['greaves', 'crackling']]",3,matter that remains after something has been removed,-1,,,
55,n06253690,['message'],n00033020,['communication'],"['n06254007', 'n06254239', 'n06406317', 'n06254371', 'n06275634', 'n07281099', 'n06276287', 'n06276401', 'n06622709']","[['broadcast'], ['cipher', 'cypher'], ['dedication', 'inscription'], ['heliogram'], ['mail'], ['packet'], ['phone_message', 'telephone_message'], ['radiogram'], ['telegram', 'wire']]",3,a communication (usually brief) that is written or spoken or signaled,-1,,,
56,n14981183,['system'],n00020827,['matter'],[],[],3,(physical chemistry) a sample of matter in which substances in different phases are in equilibrium,-1,,,
57,n09283193,"['fomite', 'vehicle']",n00002684,"['object', 'physical_object']",[],[],3,any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another,-1,,,
58,n07110615,"['voice', 'vocalization', 'vocalisation', 'vocalism', 'phonation', 'vox']",n00033020,['communication'],"['n06872122', 'n07281871', 'n07282166']","[['singing_voice'], ['sprechgesang', 'sprechstimme'], ['voice_over']]",3,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,-1,,,
59,n09428967,"['sediment', 'deposit']",n00020827,['matter'],"['n09193282', 'n09269972', 'n15009192', 'n09337406', 'n09420689']","[['alluvial_sediment', 'alluvial_deposit', 'alluvium', 'alluvion'], ['dregs', 'settlings'], ['evaporite'], ['lees'], ['salt_lick', 'lick']]",3,matter that has been deposited by some natural process,-1,,,
60,n04616059,['trait'],n00024264,['attribute'],"['n04635104', 'n04662951', 'n04620216', 'n04896161', 'n04650527', 'n04625882', 'n04887129', 'n04897762', 'n04881623', 'n04895773', 'n04835724', 'n04835028', 'n04626280', 'n04667406', 'n04891333', 'n04648207', 'n04889527', 'n04635631', 'n04663319', 'n04884450', 'n04763293', 'n04907269', 'n04866465', 'n04892084', 'n04666615', 'n04623113', 'n04886646', 'n04861486', 'n04920237', 'n04646548', 'n04833458', 'n04660536', 'n04905188', 'n04895246', 'n04668819', 'n04896724', 'n04651784', 'n04629194', 'n04661706', 'n04670531', 'n04890112']","[['activeness', 'activity'], ['attentiveness'], ['character', 'fiber', 'fibre'], ['cleanliness'], ['communicativeness'], ['compulsiveness', 'compulsivity'], ['conceit', 'conceitedness', 'vanity'], ['demeanor', 'demeanour', 'behavior', 'behaviour', 'conduct', 'deportment'], ['discipline'], ['distrust', 'distrustfulness', 'mistrust'], ['drive'], ['egoism', 'egocentrism', 'self-interest', 'self-concern', 'self-centeredness'], ['emotionality', 'emotionalism'], ['femininity', 'muliebrity'], ['folly', 'foolishness', 'unwiseness'], ['frivolity', 'frivolousness'], ['humility', 'humbleness'], ['inactiveness', 'inactivity', 'inertia'], ['inattentiveness'], ['indiscipline', 'undiscipline'], ['individuality', 'individualism', 'individuation'], ['intractability', 'intractableness'], ['irresoluteness', 'irresolution'], ['judgment', 'judgement', 'sound_judgment', 'sound_judgement', 'perspicacity'], ['masculinity'], ['nature'], ['pride'], ['resoluteness', 'firmness', 'firmness_of_purpose', 'resolve', 'resolution'], ['rurality', 'ruralism'], ['seriousness', 'earnestness', 'serious-mindedness', 'sincerity'], ['stinginess'], ['thoughtfulness'], ['tractability', 'tractableness', 'flexibility'], ['trust', 'trustingness', 'trustfulness'], ['trustworthiness', 'trustiness'], ['uncleanliness'], ['uncommunicativeness'], ['unemotionality', 'emotionlessness'], ['unthoughtfulness', 'thoughtlessness'], ['untrustworthiness', 'untrustiness'], ['wisdom', 'wiseness']]",3,a distinguishing feature of your personal nature,-1,,,
